pointid,bundesland,probenahme_monat,probenahme_jahr,xcoord,ycoord,bodenklimaraum_name,landnutzung,bze_moor,hauptbodentyp,bodenvartypsub,grundwastufe,grundwastand,moormaechtigkeit,torfmaechtigkeit,neigung,exposition,woelbung,reliefformtyp,lageimrelief,kv_0_30,kv_30_100,profile_picture
35,SH,4,2016,497586.4582,6048053.775,Marsch - Nord,A,0,MC,MCn,GWS4,80,0,0,N0,,GG,TSF,T,72.67,67.87,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0035_Z_1.GIF
5319,BW,9,2015,464762.1588,5303762.261,"Schwäbische Alb, Baar",A,0,YK,SS-YK,0,>200,0,0,N2,NE,GG,H,M,148.38,114,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5319_Z_1.GIF
2,SH,11,2015,462216.1283,6079359.775,Marsch - Nord,A,0,YE,YE/BB,0,>200,0,0,N0,,GG,V,Z,81.89,54.19,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0002_Z_1.GIF
3,SH,6,2016,480546.9384,6079739.216,Marsch - Nord,G,0,MD,MDn,GWS4,135,0,0,N0,,GG,TSF,Z,71.62,59.74,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0003_Z_1.GIF
4,SH,8,2018,484922.3074,6080011.471,Marsch - Nord,A,0,MK,MKn,GWS4,105,0,0,N1,NE,GG,TH,Z,65.6,120.4,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0004_Z_1.GIF
5,SH,10,2015,497355.9905,6079646.589,Marsch - Nord,G,0,RQ,p2RQ/GG-PP,GWS4,180,0,0,N0.2,SS,GG,KSF,K,88.82,220.87,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0005_Z_1.GIF
6,SH,10,2015,505020.3377,6080401.37,Geest - Nord,G,0,YU,aGGe-YU,GWS4,140,0,0,N0,,GG,TSF,Z,62.97,84.35,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0006_Z_1.GIF
7,SH,3,2015,477892.4595,6073934.904,Marsch - Nord,A,0,MK,vMKn,GWS3,90,0,0,N0,,GG,TSF,Z,89.09,103.33,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0007_Z_1.GIF
8,SH,11,2015,485906.5819,6070790.838,Marsch - Nord,A,0,MN,"MNb\\RQ\\PP-GG",GWS4,90,0,0,N0,,GG,TSF,Z,78.9,69.75,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0008_Z_1.GIF
10,SH,3,2016,501465.8316,6072868.353,Geest - Nord,A,0,PP,vGG-PP,GWS4,85,0,0,N0,,GG,V,Z,146.28,78.38,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0010_Z_1.GIF
11,SH,5,2016,508466.6135,6072396.748,Geest - Nord,G,0,GG,p2GGn,GWS3,85,0,0,N0,,GG,V,Z,127.55,26.4,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0011_Z_1.GIF
12,SH,9,2017,517542.0486,6073517.896,Geest - Nord,A,0,ZZ,>GG-PP,GWS3,115,0,0,N0,,GG,V,Z,110.97,143.3,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0012_Z_1.GIF
14,SH,11,2015,535559.9662,6075399.839,nördliches schleswig-holsteinisches Hügelland,A,0,PP,g4.vPPn,GWS5.2,168,0,0,N0,,GG,ERL,Z,70.17,52.27,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0014_Z_1.GIF
15,SH,3,2016,543730.6535,6074585.795,nördliches schleswig-holsteinisches Hügelland,A,0,YK,sYKn,0,>200,0,0,N2.2,NW,GG,H,M,58.0,73.65,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0015_Z_1.GIF
16,SH,10,2016,485886.9566,6066135.645,Marsch - Nord,A,1,MN,MN/HN,GWS3,105,133,74,N0,,GG,TSF,Z,67.31,407.97,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0016_Z_1.GIF
17,SH,10,2016,496407.6067,6063737.146,Marsch - Nord,A,1,MN,MNn,GWS3,130,200,102,N0,,GG,TSF,Z,94.34,143.54,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0017_Z_1.GIF
18,SH,10,2015,501826.4884,6066896.013,Geest - Nord,A,0,GG,GGn,GWS3,70,0,0,N0,,GG,TSF,T,123.52,37.26,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0018_Z_1.GIF
19,SH,3,2016,512001.0094,6067223.186,Geest - Nord,A,0,GG,vPP-GG,GWS3,60,0,0,N0,,GG,TSF,R,90.02,18.19,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0019_Z_1.GIF
20,SH,3,2017,521003.759,6066876.898,Geest - Nord,A,0,PPe,GG-vPPe,GWS5.1,147,0,0,N0,,GG,V,Z,124.45,102.46,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0020_Z_1.GIF
21,SH,4,2016,527891.2651,6067233.131,Geest - Nord,A,0,PP,g4.vSS-PP,GWS6,160,0,0,N1,SE,XX,H,M,179.85,57.43,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0021_Z_1.GIF
22,SH,11,2015,533370.7198,6065202.04,nördliches schleswig-holsteinisches Hügelland,A,0,SS,SSn,0,NA,0,0,N1,EE,XG,ERR,K,75.72,19.68,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0022_Z_1.GIF
23,SH,4,2016,541224.3774,6063998.596,nördliches schleswig-holsteinisches Hügelland,A,0,LL,vSS-LL,0,>200,0,0,N1,SS,XG,ERL,K,58.99,30.47,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0023_Z_1.GIF
24,SH,8,2017,550702.2245,6065622.665,nördliches schleswig-holsteinisches Hügelland,A,0,SS,LL-SS,0,>200,0,0,N2.2,NW,GG,H,M,68.12,27.35,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0024_Z_1.GIF
25,SH,1,2016,560970.4778,6066408.701,nördliches schleswig-holsteinisches Hügelland,A,0,SS,kSSn,0,>200,0,0,N2,EE,VG,H,M,76.39,37.74,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0025_Z_1.GIF
27,SH,11,2015,506471.2854,6056700.591,Geest - Nord,A,0,PP,g2.vPPn,GWS5.1,167,0,0,N0,,GG,EFR,K,94.9,93.79,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0027_Z_1.GIF
28,SH,11,2015,512456.6418,6054681.244,Geest - Nord,A,0,PP,r.vGG-PP,GWS5,157,0,0,N0,,GG,V,Z,152.54,41,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0028_Z_1.GIF
29,SH,5,2016,521256.4686,6058902.406,Geest - Nord,G,1,PP,GG-PP,GWS3,80,26,26,N0,,GG,TSF,Z,310.48,51.76,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0029_Z_1.GIF
30,SH,1,2016,525119.1201,6058514.195,Geest - Nord,A,0,BB,sBBn,0,>200,0,0,N2.2,SE,XG,H,M,52.86,26.48,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0030_Z_1.GIF
31,SH,3,2016,533872.6708,6057273.596,nördliches schleswig-holsteinisches Hügelland,A,0,SS,kSSn,0,>200,0,0,N2.2,NE,GG,H,M,67.61,43.75,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0031_Z_1.GIF
32,SH,10,2016,545923.1703,6056737.674,nördliches schleswig-holsteinisches Hügelland,G,0,SS,BB-SS,0,>200,0,0,N2.2,NE,XG,H,M,82.8,28.24,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0032_Z_1.GIF
33,SH,10,2016,550288.6168,6056147.992,nördliches schleswig-holsteinisches Hügelland,A,0,LL,SS-LL,0,>200,0,0,N2,SS,VG,HR,M,73.57,29.37,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0033_Z_1.GIF
36,SH,3,2017,504330.2613,6051137.693,Marsch - Nord,A,0,PP,vSS-PP,0,>200,0,0,N0,,GG,V,Z,83.34,41.82,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0036_Z_1.GIF
37,SH,11,2015,513376.7121,6046925.204,Geest - Nord,G,0,PP,vGG-PP,GWS4,110,0,0,N0,,GG,ERL,Z,119.91,49.66,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0037_Z_1.GIF
38,SH,11,2016,517920.6936,6050629.938,Geest - Nord,A,0,YU,rGG-PP-YU,GWS4,145,0,0,N0,,GG,V,Z,81.17,52.9,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0038_Z_1.GIF
41,SH,1,2016,545874.6698,6050145.814,nördliches schleswig-holsteinisches Hügelland,A,0,SS,BB-SS,0,>200,0,0,N3,SW,XX,H,O,51.35,19.19,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0041_Z_1.GIF
42,SH,8,2016,552171.4286,6051947.827,nördliches schleswig-holsteinisches Hügelland,A,0,YK,YK/BB-LL,0,>200,0,0,N2.2,EE,GG,H,M,57.55,67.58,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0042_Z_1.GIF
43,SH,2,2016,560638.7207,6048059.966,nördliches schleswig-holsteinisches Hügelland,SO,0,SS,vSSn,0,>200,0,0,N1,SE,GG,H,M,59.68,27.28,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0043_Z_1.GIF
44,MV,9,2012,776613.3831,6055118.19,NW-Mecklenburg und Küstengebiet / bessere diluviale Böden,A,0,SS,g4SSn,GWS5,160,0,0,N0.2,NW,GG,TSF,Z,39.95,41.32,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0044_Z_1.GIF
46,SH,8,2017,495194.5652,6040346.281,Marsch - Nord,A,0,MC,MCn,GWS5.1,100,0,0,N0,,GG,TSF,Z,48.43,44.8,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0046_Z_1.GIF
48,SH,10,2016,510501.7301,6038157.429,Geest - Nord,A,0,BB,vBBn,0,>200,0,0,N1,NN,GG,H,M,47.93,24.27,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0048_Z_1.GIF
49,SH,8,2016,519493.3313,6039115.72,Geest - Nord,A,0,SS,vPP-SS,0,>200,0,0,N0,,GG,V,R,97.71,39.31,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0049_Z_1.GIF
50,SH,9,2018,526647.3651,6041074.608,Geest - Nord,A,0,BB,r.gBB-PP,GWS6,>200,0,0,N0,,GG,TS,Z,93.96,65.2,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0050_Z_1.GIF
52,SH,10,2016,552340.8782,6038440.548,nördliches schleswig-holsteinisches Hügelland,A,0,YK,YKn,0,>200,0,0,N2.2,NW,GG,H,M,36.94,47.83,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0052_Z_1.GIF
55,SH,10,2016,640143.7614,6043702.432,südliches schleswig-holsteinisches Hügelland,A,0,SS,vSSn,0,>200,0,0,N0,,GG,V,R,164.13,24.81,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0055_Z_1.GIF
57,MV,3,2014,781873.2021,6044212.159,NW-Mecklenburg und Küstengebiet / bessere diluviale Böden,A,0,SS,vSSn,0,NA,0,0,N0.2,SW,GG,V,Z,65.52,29.47,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0057_Z_1.GIF
58,SH,6,2016,502589.7561,6031297.143,Marsch - Nord,G,1,MN,MNb/HN,GWS2,160,128,88,N0,,GG,TSF,Z,96.88,420.84,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0058_Z_1.GIF
59,SH,11,2016,514317.7114,6031818.104,Geest - Nord,A,0,BB,s2BBn,0,>200,0,0,N0.2,WW,GG,V,Z,58.49,28.44,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0059_Z_1.GIF
60,SH,8,2016,517929.362,6031924.161,Geest - Nord,G,1,MN,"MNf\\KV",GWS2,90,148,128,N0,,GG,TSF,Z,243.68,452.66,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0060_Z_1.GIF
62,SH,9,2017,537469.8918,6034968.418,Geest - Nord,G,0,PP,GG-PP,GWS4,65,0,0,N0,,GG,TSF,Z,297.18,79.83,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0062_Z_1.GIF
63,SH,4,2016,541377.5744,6033591.769,nördliches schleswig-holsteinisches Hügelland,G,0,LL,g4BB-SS-LL,GWS5.2,>200,0,0,N2,SE,GG,H,M,77.75,37.2,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0063_Z_1.GIF
64,SH,7,2017,553319.5541,6033920.569,nördliches schleswig-holsteinisches Hügelland,A,0,LL,sLLn,0,>200,0,0,N2,SE,XG,H,M,40.93,13.06,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0064_Z_1.GIF
65,SH,7,2016,561164.2591,6031682.501,südliches schleswig-holsteinisches Hügelland,A,0,LL,SS-LL,0,>200,0,0,N1,SE,XG,KHR,K,65.84,33.07,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0065_Z_1.GIF
