PointID,HorizontID,Upper limit,Lower limit,Horizon symbol,Rock fragment fraction,Soil colour,Stones,Stone density,Carbonate class,Organic matter content class,Rooting intensity,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,Soil texture class_x,BD_FS,BD_bulk,FSS,Water content,pH_H2O,EC_H2O,pH_CaCl2,TC,TOC,TIC,TN,County
2,1.0,0.0,28.0,I; Ap,2.07245283,7.5YR 3/2,3,2.65,C0,h3,Wf4,5.8,33.4,35.4,13.1,3.2,1.5,74.6,17.8,7.6,Sl2,1.16,1.17,1133.3,20.21,5.29,70.1,4.48,21.83,21.83,0.0,1.79,SH        
2,2.0,28.0,54.0,I; E,2.307924528,10YR 3/3,3,2.65,C0,h2,Wf3,6.7,32.0,35.8,13.3,3.2,1.6,74.5,18.1,7.4,Sl2,1.41,1.43,2754.4,19.58,5.11,76.7,4.39,20.75,20.75,0.0,1.73,SH        
2,3.0,54.0,68.0,II; Bv,2.803773585,7.5YR 4/3,10,2.65,C0,h1,Wf3,5.0,27.9,37.8,17.5,3.5,1.7,70.7,22.8,6.5,Sl2,1.45,1.47,2818.7,15.74,4.63,78.2,3.98,11.51,11.51,0.0,0.8200000000000001,SH        
2,4.0,68.0,96.0,III; Bv-ilCv,10.0,7.5YR 6/4,1,2.65,C0,h0,Wf2,7.6,31.4,36.6,14.4,3.0,1.2,75.6,18.6,5.8,Sl2,1.3,1.48,2138.5,11.75,4.73,64.8,4.15,6.909999999999999,6.909999999999999,0.0,0.49,SH        
2,5.0,96.0,201.0,III; ilCv,3.928301887,10YR 7/4,1,2.65,C0,h0,Unknown,5.8,43.1,42.3,4.1,1.3,0.6,91.2,6.0,2.8,mSfs,1.54,1.59,4438.5,5.93,4.9,35.5,4.23,1.57,1.57,0.0,0.10999999999999999,SH        
3,1.0,0.0,12.0,I; tbSw-Ah,0.050566038,10YR 4/2,0,2.65,C0,h3,Wf6,0.1,0.4,42.3,22.6,7.2,5.3,42.8,35.1,22.1,Ls3,1.27,1.27,1268.0,17.99,5.14,177.9,4.69,20.64,20.64,0.0,1.92,SH        
3,2.0,12.0,30.0,I; tbSw-rAp,0.0,10YR 4/2,0,2.65,C0,h2,Wf4,0.2,0.4,40.1,21.5,7.6,6.4,40.6,35.5,23.9,Ls3,1.43,1.43,2860.0,22.48,5.44,54.9,4.86,15.89,15.89,0.0,1.53,SH        
3,3.0,30.0,54.0,I; tbrGo-Sw,0.0,2.5Y 5/1,0,2.65,C0,h1,Wf2,0.1,0.4,47.9,18.4,7.2,3.8,48.5,29.4,22.1,Ls4,1.57,1.57,3140.0,20.51,6.32,50.5,5.81,5.739999999999999,5.739999999999999,0.0,0.59,SH        
3,4.0,54.0,125.0,I; tbGo-Sd,0.0,5Y 5/1,0,2.65,C0,h1,Unknown,0.2,0.6,24.5,26.8,10.1,6.8,25.3,43.7,31.0,Lt2,1.39,1.39,2780.0,30.27,6.48,56.5,5.92,5.789999999999999,5.789999999999999,0.0,0.62,SH        
3,5.0,125.0,160.0,II; tmGor,0.0,5Y 5/1,0,2.65,C0,h1,Unknown,0.2,0.3,18.8,24.0,11.1,7.1,19.3,42.2,38.5,Lt3,1.47,1.47,4410.0,28.11,6.42,67.0,5.93,5.81,5.81,0.0,0.62,SH        
4,6.0,33.0,55.0,Unknown,0.0,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,0.6,1.7,19.9,21.4,13.4,6.7,22.2,41.5,36.3,Lt3,1.29,1.29,1287.5,30.58,5.5,86.2,5.03,19.15,19.15,0.0,1.88,SH        
4,1.0,0.0,30.0,I; Sw-tbAp,0.009811321,5Y 5/2,0,2.65,C0,h3,Wf4,0.6,1.6,20.4,21.2,13.8,7.1,22.6,42.1,35.3,Lt3,1.35,1.35,2699.0,26.0,5.64,112.7,5.05,15.169999999999998,15.169999999999998,0.0,1.58,SH        
4,2.0,30.0,74.0,I; tbSq,0.0,5Y 5/1,0,2.65,C0,h1,Wf3,0.9,2.3,10.9,19.9,15.3,9.4,14.0,44.5,41.5,Lt3,1.37,1.37,2740.0,29.07,6.42,134.9,5.88,22.200000000000003,22.200000000000003,0.0,2.3499999999999996,SH        
4,3.0,74.0,140.0,I; tbGro,0.0,5Y 6/1,0,2.65,C0,h0,Wf1,0.4,1.4,15.5,16.9,14.4,7.1,17.3,38.4,44.3,Lt3,1.48,1.48,2960.0,26.65,6.73,137.5,6.38,10.280000000000001,10.280000000000001,0.0,1.1600000000000001,SH        
4,4.0,140.0,200.0,I; tbGr,0.0,GLEY1 5/N,0,2.65,C0,h0,Unknown,0.5,0.5,25.8,19.7,11.5,6.2,26.8,37.4,35.8,Lt3,1.49,1.49,4470.0,23.01,6.98,233.0,6.68,6.5200000000000005,6.5200000000000005,0.0,0.72,SH        
5,1.0,0.0,9.0,I; Aeh,0.031698113,10YR 3/1,0,2.65,C0,h3,Wf6,1.0,48.7,44.6,1.7,0.9,0.4,94.2,3.0,2.8,mSfs,1.16,1.16,1154.8,25.4,6.14,125.9,5.0,33.75,33.75,0.0,2.66,SH        
5,2.0,9.0,30.0,I; rAep,0.212075472,10YR 4/1,1,2.65,C0,h2,Wf5,1.2,48.6,44.7,2.0,0.9,0.0,94.5,2.9,2.6,mSfs,1.47,1.47,2930.5,12.1,5.34,48.0,4.29,17.01,17.01,0.0,1.1500000000000001,SH        
5,3.0,30.0,54.0,I; oCv,0.0,10YR 4/2,0,2.65,C0,h2,Wf2,0.4,43.7,52.2,1.5,0.4,0.1,96.4,2.0,1.6,fSms,1.45,1.45,2900.0,11.43,5.52,34.0,4.68,12.330000000000002,12.330000000000002,0.0,0.67,SH        
5,4.0,54.0,58.0,II; fOh,0.0,10YR 2/1,0,2.65,C0,Unknown,Wf2,1.1,63.5,27.4,1.6,1.7,1.0,92.0,4.3,3.7,mSfs,1.03,1.03,1235.6,60.94,5.86,46.3,5.05,75.06,75.06,0.0,3.4399999999999995,SH        
5,5.0,58.0,62.0,II; Aeh,0.0,7.5YR 2.5/1,0,2.65,C0,h5,Wf2,1.2,66.3,29.5,1.3,0.7,0.0,97.0,2.0,1.0,mSfs,1.48,1.48,1184.0,11.22,5.93,21.6,5.1,10.89,10.89,0.0,0.36,SH        
